Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F

AAH,1010,,Lauritis Beth Ann (0509-CAAH),145, 40.00,44.83,9.66,0,0.69,4.83,0,0,0,0
AAH,1010,H,Lauritis Beth Ann (0509-CAAH),15, 86.67,0,0,0,0,13.33,0,0,0,0
AAH,2050,,Lauritis Beth Ann (0509-CAAH),34, 79.41,14.71,0,0,5.88,0,0,0,0,0
AAH,3050,,Feeser Andrea V (0509-CAAH),19, 84.21,15.79,0,0,0,0,0,0,0,0
AAH,4110,,Feeser Andrea V (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
AAH,4300,,Feeser Andrea V (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
AAH,6110,,Feeser Andrea V (0509-CAAH),2, #,#,#,#,#,#,#,#,#,#
AAH,6110,,Lauritis Beth Ann (0509-CAAH),3, #,#,#,#,#,#,#,#,#,#
AAH,6300,,Feeser Andrea V (0509-CAAH),6, #,#,#,#,#,#,#,#,#,#
ART,1050,,Drew Carly D (0509-CAAH),8, #,#,#,#,#,#,#,#,#,#
ART,1050,,Thum Kathleen Ann (0509-CAAH),14, 71.43,14.29,0,0,7.14,7.14,0,0,0,0
ART,1520,,Manson V Joseph Richard (0509-CAAH),18, 94.44,5.56,0,0,0,0,0,0,0,0
ART,2070,,Massey Dustin lee (0509-CAAH),17, 58.82,41.18,0,0,0,0,0,0,0,0
ART,2100,,Dorsey Lydia Jane (0509-CAAH),113, 56.64,28.32,7.96,0.88,2.65,2.65,0.88,0,0,0
ART,2110,,Ferguson Mandy Loraine (0509-CAAH),16, 56.25,31.25,6.25,0,6.25,0,0,0,0,0
ART,2170,,Bare Daniel L (0509-CAAH),11, 90.91,0,0,0,0,9.09,0,0,0,0
ART,2210,,Hung Christina Nguyen (0509-CAAH),12, 58.33,33.33,0,0,0,0,8.33,0,0,0
ART,3050,,Thum Kathleen Ann (0509-CAAH),7, #,#,#,#,#,#,#,#,#,#
ART,3070,,McDonald Todd A (0509-CAAH),9, #,#,#,#,#,#,#,#,#,#
ART,3090,,Detrich David M (0509-CAAH),6, #,#,#,#,#,#,#,#,#,#
ART,3110,,Anderson Todd Dennis (0509-CAAH),8, #,#,#,#,#,#,#,#,#,#
ART,3130,,Wrangle Anderson  (0509-CAAH),8, #,#,#,#,#,#,#,#,#,#
ART,3170,,Bare Daniel L (0509-CAAH),6, #,#,#,#,#,#,#,#,#,#
ART,3550,,Manson V Joseph Richard (0509-CAAH),3, #,#,#,#,#,#,#,#,#,#
ART,4050,,Thum Kathleen Ann (0509-CAAH),2, #,#,#,#,#,#,#,#,#,#
ART,4070,,McDonald Todd A (0509-CAAH),7, #,#,#,#,#,#,#,#,#,#
ART,4110,,Anderson Todd Dennis (0509-CAAH),5, #,#,#,#,#,#,#,#,#,#
ART,4130,,Wrangle Anderson  (0509-CAAH),2, #,#,#,#,#,#,#,#,#,#
ART,4170,,Bare Daniel L (0509-CAAH),5, #,#,#,#,#,#,#,#,#,#
ART,4550,,Manson V Joseph Richard (0509-CAAH),9, #,#,#,#,#,#,#,#,#,#
ART,4710,,Detrich David M (0509-CAAH),3, #,#,#,#,#,#,#,#,#,#
ART,4710,,McDonald Todd A (0509-CAAH),3, #,#,#,#,#,#,#,#,#,#
ART,4710,,Thum Kathleen Ann (0509-CAAH),6, #,#,#,#,#,#,#,#,#,#
ART,4710,,Wrangle Anderson  (0509-CAAH),4, #,#,#,#,#,#,#,#,#,#
ART,4720,,Anderson Todd Dennis (0509-CAAH),2, #,#,#,#,#,#,#,#,#,#
ART,4720,,Bare Daniel L (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
ART,4720,,Detrich David M (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
ART,4720,,McDonald Todd A (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
ART,4720,,Thum Kathleen Ann (0509-CAAH),2, #,#,#,#,#,#,#,#,#,#
ART,4720,,Wrangle Anderson  (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
ART,4730,,Manson V Joseph Richard (0509-CAAH),17, 100.00,0,0,0,0,0,0,0,0,0
ART,4750,,Woodward-Detrich Denise C (0509-CAAH),8, #,#,#,#,#,#,#,#,#,#
ART,4900,,Bare Daniel L (0509-CAAH),3, #,#,#,#,#,#,#,#,#,#
ART,4900,,Hung Christina Nguyen (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
ART,4900,,McDonald Todd A (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
ART,4900,,Woodward-Detrich Denise C (0509-CAAH),3, #,#,#,#,#,#,#,#,#,#
ART,4900,,Wrangle Anderson  (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
ART,6090,,Detrich David M (0509-CAAH),7, #,#,#,#,#,#,#,#,#,#
ART,6110,,Anderson Todd Dennis (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
ART,6130,,Wrangle Anderson  (0509-CAAH),5, #,#,#,#,#,#,#,#,#,#
ART,6900,,Anderson Todd Dennis (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
ART,6900,,Detrich David M (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
ART,6900,,Thum Kathleen Ann (0509-CAAH),1, #,#,#,#,#,#,#,#,#,#
