Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F

AGED,1000,,Fravel Philip M (0312-CAFLS),3, #,#,#,#,#,#,#,#,#,#
AGED,1020,,DiBenedetto Catherine A (0312-CAFLS),17, 76.47,11.76,5.88,0,0,5.88,0,0,0,0
AGED,2000,,Layfield Kevin D (0312-CAFLS),31, 64.52,16.13,9.68,0,0,6.45,3.23,0,0,0
AGED,2010,,Fravel Philip M (0312-CAFLS),27, 59.26,37.04,0,0,0,3.70,0,0,0,0
AGED,2040,,Fravel Philip M (0312-CAFLS),16, 50.00,43.75,6.25,0,0,0,0,0,0,0
AGED,3030,,Byrd Alex P (0312-CAFLS),13, 53.85,46.15,0,0,0,0,0,0,0,0
AGED,4000,,Fravel Philip M (0312-CAFLS),16, 75.00,25.00,0,0,0,0,0,0,0,0
AGED,4010,,DiBenedetto Catherine A (0312-CAFLS),12, 25.00,75.00,0,0,0,0,0,0,0,0
AGED,4030,,Byrd Alex P (0312-CAFLS),17, 41.18,29.41,17.65,5.88,0,5.88,0,0,0,0
AGED,4060,,Byrd Alex P (0312-CAFLS),1, #,#,#,#,#,#,#,#,#,#
AGED,4070,,Layfield Kevin D (0312-CAFLS),5, #,#,#,#,#,#,#,#,#,#
AGED,4230,,DiBenedetto Catherine A (0312-CAFLS),12, 16.67,50.00,33.33,0,0,0,0,0,0,0
AGED,4280,,DiBenedetto Catherine A (0312-CAFLS),1, #,#,#,#,#,#,#,#,#,#
AGED,6010,,DiBenedetto Catherine A (0312-CAFLS),4, #,#,#,#,#,#,#,#,#,#
AGED,6030,,Byrd Alex P (0312-CAFLS),13, 84.62,15.38,0,0,0,0,0,0,0,0
AGED,6230,,DiBenedetto Catherine A (0312-CAFLS),5, #,#,#,#,#,#,#,#,#,#
AGED,6280,,DiBenedetto Catherine A (0312-CAFLS),1, #,#,#,#,#,#,#,#,#,#
AGED,6280,,Dobbins Thomas R (0110-PSAG),1, #,#,#,#,#,#,#,#,#,#
AGED,7500,,Byrd Alex P (0312-CAFLS),5, #,#,#,#,#,#,#,#,#,#
AGED,8040,,Byrd Alex P (0312-CAFLS),3, #,#,#,#,#,#,#,#,#,#
AGED,8040,,Layfield Kevin D (0312-CAFLS),1, #,#,#,#,#,#,#,#,#,#
AGED,8100,,DiBenedetto Catherine A (0312-CAFLS),3, #,#,#,#,#,#,#,#,#,#
AGED,8100,,Dobbins Thomas R (0110-PSAG),1, #,#,#,#,#,#,#,#,#,#
AGED,8100,,Layfield Kevin D (0312-CAFLS),3, #,#,#,#,#,#,#,#,#,#
AGED,8120,,Layfield Kevin D (0312-CAFLS),17, 94.12,0,0,0,0,0,5.88,0,0,0
