Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F

COMM,1010,,Smith Eddie R (0533-CBSHS),190, 0,0,0,0,0,1.58,0,0,98.42,0
COMM,1500,,Fecher Daniel Leland (0533-CBSHS),218, 60.55,33.03,1.83,1.38,1.83,1.38,0,0,0,0
COMM,1500,,Glaser Marianne Herr (0533-CBSHS),347, 78.67,15.56,2.02,0,1.44,2.31,0,0,0,0
COMM,1500,,Smith Eddie R (0533-CBSHS),299, 86.29,10.70,1.00,0,0.67,1.00,0.33,0,0,0
COMM,1620,,Dixon Lindsey C (0533-CBSHS),19, 100.00,0,0,0,0,0,0,0,0,0
COMM,1630,,Dixon Lindsey C (0533-CBSHS),7, #,#,#,#,#,#,#,#,#,#
COMM,2010,,Linvill Darren L (0533-CBSHS),60, 68.33,30.00,0,1.67,0,0,0,0,0,0
COMM,2020,,Okamoto Kristen Elaine (0533-CBSHS),32, 43.75,34.38,18.75,3.13,0,0,0,0,0,0
COMM,2040,,Scott David Travers (0533-CBSHS),18, 61.11,22.22,11.11,0,0,5.56,0,0,0,0
COMM,2100,,Ash Erin Michelle (0533-CBSHS),38, 63.16,34.21,2.63,0,0,0,0,0,0,0
COMM,2110,,Pratt Angela N (0533-CBSHS),19, 78.95,15.79,0,5.26,0,0,0,0,0,0
COMM,2500,,Baker Caitlin E (0533-CBSHS),57, 96.49,1.75,0,0,0,1.75,0,0,0,0
COMM,2500,,Condon Vanessa Anne (0533-CBSHS),75, 64.00,21.33,9.33,0,4.00,1.33,0,0,0,0
COMM,2500,,Crocker Sara Grumbles (0533-CBSHS),72, 58.33,22.22,8.33,1.39,4.17,5.56,0,0,0,0
COMM,2500,,Davis Alexis Zachary (0533-CBSHS),73, 89.04,5.48,2.74,1.37,1.37,0,0,0,0,0
COMM,2500,,Davis Alyssa Christine (0533-CBSHS),76, 72.37,21.05,2.63,1.32,0,1.32,1.32,0,0,0
COMM,2500,,Geddes Doreen Steiner (0533-CBSHS),19, 63.16,26.32,0,0,0,10.53,0,0,0,0
COMM,2500,,Matthey Pauline  (0533-CBSHS),76, 42.11,39.47,13.16,2.63,1.32,1.32,0,0,0,0
COMM,2500,,McElveen Katie Barnes (0533-CBSHS),37, 59.46,32.43,5.41,2.70,0,0,0,0,0,0
