Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F

AS,1090,,Moore Michael Allen (1352-CBUS),62, 35.48,59.68,0,0,1.61,3.23,0,0,0,0
AS,2090,,Lusk Brock M. (1352-CBUS),45, 88.89,8.89,0,0,0,2.22,0,0,0,0
AS,3090,,Miller Rachelle Marie (1352-CBUS),31, 83.87,12.90,0,0,0,3.23,0,0,0,0
AS,4090,,Balts Keith W (1352-CBUS),24, 79.17,20.83,0,0,0,0,0,0,0,0
""
BUS,1010,,De Iulio Edward Barry (1319-CBUS),57, 56.14,38.60,5.26,0,0,0,0,0,0,0
BUS,1010,,Edge Sandy  (1319-CBUS),57, 43.86,29.82,14.04,5.26,1.75,5.26,0,0,0,0
BUS,1010,,Mann Christopher R (1305-CBUS),171, 36.84,45.03,12.87,0.58,2.34,2.34,0,0,0,0
BUS,1010,,McCubbin Donna L (1319-CBUS),173, 46.24,32.37,13.29,1.73,2.89,3.47,0,0,0,0
BUS,1010,,Savedra Adam R (0735-CBSHS),8, #,#,#,#,#,#,#,#,#,#
BUS,1010,,Tumblin William Ernest (1319-CBUS),170, 42.94,40.59,9.41,2.35,1.18,3.53,0,0,0,0
BUS,1010,,Young Lance Scott (1319-CBUS),114, 25.44,29.82,31.58,5.26,0.88,7.02,0,0,0,0
BUS,2990,,Gaubert James G (1325-CBUS),39, 100.00,0,0,0,0,0,0,0,0,0
BUS,2990,,Vogel Melissa A (1356-CBSHS),10, 50.00,30.00,10.00,0,10.00,0,0,0,0,0
BUS,3990,,Gaubert James G (1325-CBUS),29, 100.00,0,0,0,0,0,0,0,0,0
BUS,3990,,Martin Jeffery S (5673-A+A),10, 100.00,0,0,0,0,0,0,0,0,0
BUS,4990,,Gaubert James G (1325-CBUS),20, 100.00,0,0,0,0,0,0,0,0,0
""
APEC,8910,,Vassalos Michael  (0312-CAFLS),3, #,#,#,#,#,#,#,#,#,#
APEC,8990,,Zhang Lisha  (0312-CAFLS),1, #,#,#,#,#,#,#,#,#,#
ECON,2000,,Ernest Jonathan Orry (1309-CBUS),158, 40.51,27.85,18.99,5.06,6.33,1.27,0,0,0,0
ECON,2000,,Ivankovic Miren  (1309-CBUS),39, 46.15,43.59,5.13,2.56,2.56,0,0,0,0,0
ECON,2110,,Ghanbariamin Roksana  (1309-CBUS),82, 20.73,40.24,25.61,8.54,1.22,3.66,0,0,0,0
ECON,2110,,Hanssen Frederick Andrew (1309-CBUS),411, 13.38,36.98,32.60,7.06,4.38,5.60,0,0,0,0
ECON,2110,,Issagholian Liuna  (1309-CBUS),83, 36.14,28.92,21.69,7.23,3.61,2.41,0,0,0,0
ECON,2110,,Makowsky Michael D (1309-CBUS),33, 33.33,42.42,18.18,6.06,0,0,0,0,0,0
ECON,2110,,Posmanick Benjamin James (1309-CBUS),75, 16.00,36.00,34.67,13.33,0,0,0,0,0,0
ECON,2110,,Roberts Kelsey Victoria (1309-CBUS),110, 20.00,38.18,23.64,11.82,4.55,1.82,0,0,0,0
ECON,2110,,Schwall Benjamin Joseph (1309-CBUS),45, 22.22,46.67,17.78,6.67,0,6.67,0,0,0,0
ECON,2110,,Thomas Charles J (1309-CBUS),41, 14.63,43.90,21.95,7.32,4.88,7.32,0,0,0,0
ECON,2110,,Walloga Jacob  (1309-CBUS),76, 39.47,36.84,17.11,1.32,1.32,2.63,1.32,0,0,0
ECON,2110,,Wang Chen  (1309-CBUS),80, 22.50,65.00,10.00,0,0,1.25,1.25,0,0,0
ECON,2110,,Wilson Sarah Louise (1309-CBUS),85, 25.88,30.59,24.71,10.59,7.06,1.18,0,0,0,0
ECON,2110,,Zhao Zhiqi  (1309-CBUS),30, 50.00,33.33,13.33,0,0,3.33,0,0,0,0
ECON,2110,H,Thomas Charles J (1309-CBUS),22, 45.45,45.45,4.55,4.55,0,0,0,0,0,0
ECON,2120,,Allen Ralph Charles (1309-CBUS),120, 10.83,11.67,12.50,15.83,13.33,35.00,0.83,0,0,0
ECON,2120,,Choquette Jeremy W (1309-CBUS),208, 80.77,8.65,2.88,1.92,2.88,2.88,0,0,0,0
ECON,2120,,Harbolt Benjamin Timothy (1309-CBUS),81, 19.75,38.27,30.86,6.17,2.47,2.47,0,0,0,0
ECON,2120,,Neilson Elijah R (1309-CBUS),62, 25.81,40.32,19.35,4.84,3.23,6.45,0,0,0,0
ECON,2120,,Rechard Kyle Lance (1309-CBUS),170, 27.06,47.06,21.18,1.18,1.18,2.35,0,0,0,0
