Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F

BIOE,1010,,Reukov Vladimir Vladimirovich (0905-CECAS),9, #,#,#,#,#,#,#,#,#,#
BIOE,2000,,Laberge Martine  (0905-CECAS),25, 0,0,0,0,0,0,0,0,100.00,0
BIOE,2010,,Webb Charles K (0905-CECAS),124, 40.32,41.94,5.65,0.81,0.81,10.48,0,0,0,0
BIOE,3020,,Vertegel Alexey Alexandrovich (0905-CECAS),56, 60.71,26.79,3.57,3.57,3.57,1.79,0,0,0,0
BIOE,3100,,Booth Brian William (0905-CECAS),74, 55.41,43.24,1.35,0,0,0,0,0,0,0
BIOE,3200,,Nagatomi Jiro  (0905-CECAS),69, 73.91,21.74,0,1.45,0,2.90,0,0,0,0
BIOE,3210,,Gao Zhi  (0905-CECAS),33, 54.55,33.33,9.09,0,0,3.03,0,0,0,0
BIOE,3700,,Dean Delphine  (0905-CECAS),67, 67.16,23.88,2.99,0,0,5.97,0,0,0,0
BIOE,4000,,Laberge Martine  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4010,,Desjardins John D (0905-CECAS),94, 95.74,2.13,1.06,0,0,1.06,0,0,0,0
BIOE,4030,,Richardson William J (0905-CECAS),25, 80.00,20.00,0,0,0,0,0,0,0,0
BIOE,4120,,Harman Melinda K (0905-CECAS),20, 50.00,35.00,10.00,0,0,5.00,0,0,0,0
BIOE,4150,,Laberge Martine  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4150,H,Laberge Martine  (0905-CECAS),14, 100.00,0,0,0,0,0,0,0,0,0
BIOE,4400,,Harcum Sarah W (0905-CECAS),20, 45.00,45.00,5.00,0,0,5.00,0,0,0,0
BIOE,4480,,Simionescu Agneta  (0905-CECAS),30, 100.00,0,0,0,0,0,0,0,0,0
BIOE,4500,,Smith Cynthia Miller (0905-CECAS),12, 66.67,33.33,0,0,0,0,0,0,0,0
BIOE,4510,,Dean Delphine  (0905-CECAS),33, 100.00,0,0,0,0,0,0,0,0,0
BIOE,4510,,Desjardins John D (0905-CECAS),30, 96.67,0,0,0,0,3.33,0,0,0,0
BIOE,4510,,Harman Melinda K (0905-CECAS),12, 100.00,0,0,0,0,0,0,0,0,0
BIOE,4510,,Mercuri Jeremy J (0905-CECAS),12, 100.00,0,0,0,0,0,0,0,0,0
BIOE,4510,,Reukov Vladimir Vladimirovich (0905-CECAS),51, 100.00,0,0,0,0,0,0,0,0,0
BIOE,4510,,Rodriguez Jorge Ivan (0921-CECAS),13, 100.00,0,0,0,0,0,0,0,0,0
BIOE,4510,,Simionescu Agneta  (0905-CECAS),18, 94.44,0,0,0,0,5.56,0,0,0,0
BIOE,4510,,Singapogu Ravikiran Bhaskar (0905-CECAS),5, #,#,#,#,#,#,#,#,#,#
BIOE,4710,,Gao Zhi  (0905-CECAS),8, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Alexander Angela Antoinette (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Booth Brian William (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Dean Delphine  (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Desjardins John D (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Latour Robert A (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Lee JeoungSoo  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Mercuri Jeremy J (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Nagatomi Jiro  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Reukov Vladimir Vladimirovich (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Richardson William J (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Simionescu Agneta  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Simionescu Dan T (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Vertegel Alexey Alexandrovich (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4910,,Vyavahare Narendra R (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Booth Brian William (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Dean Delphine  (0905-CECAS),9, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Desjardins John D (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Gao Zhi  (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Harman Melinda K (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Latour Robert A (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Lee JeoungSoo  (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Mercuri Jeremy J (0905-CECAS),3, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Nagatomi Jiro  (0905-CECAS),3, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Reukov Vladimir Vladimirovich (0905-CECAS),3, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Richardson William J (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Simionescu Agneta  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Simionescu Dan T (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,4910,H,Webb Charles K (0905-CECAS),3, #,#,#,#,#,#,#,#,#,#
BIOE,6120,,Harman Melinda K (0905-CECAS),19, 84.21,15.79,0,0,0,0,0,0,0,0
BIOE,6150,,Laberge Martine  (0905-CECAS),21, 95.24,4.76,0,0,0,0,0,0,0,0
BIOE,6400,,Harcum Sarah W (0905-CECAS),10, 60.00,40.00,0,0,0,0,0,0,0,0
BIOE,6710,,Gao Zhi  (0905-CECAS),10, 100.00,0,0,0,0,0,0,0,0,0
BIOE,8000,,Foley Ann Catherine (0905-CECAS),11, 0,0,0,0,0,0,0,0,100.00,0
BIOE,8000,,Laberge Martine  (0905-CECAS),64, 0,0,0,0,0,0,0,0,98.44,1.56
BIOE,8010,,Latour Robert A (0905-CECAS),32, 31.25,59.38,6.25,0,0,3.13,0,0,0,0
BIOE,8020,,Vyavahare Narendra R (0905-CECAS),9, #,#,#,#,#,#,#,#,#,#
BIOE,8140,,Orr David E. (0905-CECAS),23, 91.30,0,0,0,4.35,4.35,0,0,0,0
BIOE,8160,,Laberge Martine  (0905-CECAS),19, 84.21,10.53,0,0,5.26,0,0,0,0,0
BIOE,8200,,Yao Hai  (0905-CECAS),25, 88.00,4.00,0,0,0,8.00,0,0,0,0
BIOE,8240,,Lee JeoungSoo  (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
BIOE,8460,,Simionescu Dan T (0905-CECAS),42, 97.62,0,0,0,0,2.38,0,0,0,0
BIOE,8490,,Mei Ying  (0905-CECAS),5, #,#,#,#,#,#,#,#,#,#
BIOE,8500,,Bruce Terri Lane Foster (0332-CSCI),13, 100.00,0,0,0,0,0,0,0,0,0
BIOE,8500,,Foley Ann Catherine (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
