Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F

EDC,3900,,Brown DeOnte  (4005-STUD),31, 77.42,16.13,6.45,0,0,0,0,0,0,0
EDC,3900,,Pernotto Eric T (4075-STUD),25, 88.00,4.00,4.00,0,0,4.00,0,0,0,0
EDC,3990,,Stewart-Tillman Kendra Danika (0723-CED),17, 82.35,5.88,0,0,0,11.76,0,0,0,0
EDC,8050,,Scott David A (0723-CED),19, 94.74,0,0,0,0,5.26,0,0,0,0
EDC,8100,,Hiott Elaine H (0723-CED),14, 100.00,0,0,0,0,0,0,0,0,0
EDC,8100,,Katalinic Mary Dolores (0723-CED),17, 94.12,0,0,0,0,5.88,0,0,0,0
EDC,8120,,Scott David A (0723-CED),16, 93.75,6.25,0,0,0,0,0,0,0,0
EDC,8130,,Milsom Amy Sue (0723-CED),16, 100.00,0,0,0,0,0,0,0,0,0
EDC,8140,,Hall Jennifer Geddes (0723-CED),16, 100.00,0,0,0,0,0,0,0,0,0
EDC,8140,,Sackett Corrine R (0723-CED),14, 92.86,0,0,0,0,7.14,0,0,0,0
EDC,8180,,Hall Jennifer Geddes (0723-CED),16, 93.75,0,0,0,0,6.25,0,0,0,0
EDC,8180,,Sackett Corrine R (0723-CED),15, 100.00,0,0,0,0,0,0,0,0,0
EDC,8220,,Wheeler Theresa Lynn (0723-CED),21, 100.00,0,0,0,0,0,0,0,0,0
EDC,8250,,Hiott Elaine H (0723-CED),13, 100.00,0,0,0,0,0,0,0,0,0
EDC,8410,,Rumsey Amanda Dreisbach (0723-CED),12, 0,0,0,0,0,0,0,0,100.00,0
EDC,8460,,Catalana Michael G (0723-CED),10, 0,0,0,0,0,0,0,0,100.00,0
EDC,8460,,Hiott Elaine H (0723-CED),10, 0,0,0,0,0,0,0,0,100.00,0
EDC,8510,,Milsom Amy Sue (0723-CED),12, 91.67,8.33,0,0,0,0,0,0,0,0
EDF,3010,,Khan Nafees Mohammad (0724-CED),56, 92.86,7.14,0,0,0,0,0,0,0,0
EDF,3010,H,Khan Nafees Mohammad (0724-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,3020,,Chou Stephen  (0723-CED),38, 100.00,0,0,0,0,0,0,0,0,0
EDF,3020,,Qian Meihua  (0723-CED),18, 83.33,16.67,0,0,0,0,0,0,0,0
EDF,3080,,Brooker Heather Rogers (0723-CED),17, 94.12,5.88,0,0,0,0,0,0,0,0
EDF,3080,,Switzer Deborah M (0723-CED),35, 85.71,14.29,0,0,0,0,0,0,0,0
EDF,3340,,Brown DeOnte  (4005-STUD),18, 94.44,5.56,0,0,0,0,0,0,0,0
EDF,3340,,Jamil Faiza Marghoob (0723-CED),37, 97.30,2.70,0,0,0,0,0,0,0,0
EDF,3340,H,Jamil Faiza Marghoob (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,3350,,Rapa Luke J (0723-CED),31, 67.74,32.26,0,0,0,0,0,0,0,0
EDF,4800,,Boyer David Matthew (0723-CED),35, 94.29,5.71,0,0,0,0,0,0,0,0
EDF,4800,,Herro Danielle Christine (0723-CED),19, 94.74,5.26,0,0,0,0,0,0,0,0
EDF,4800,,Visser Ryan D (0723-CED),46, 82.61,17.39,0,0,0,0,0,0,0,0
EDF,8080,,Brooker Heather Rogers (0723-CED),74, 90.54,6.76,0,0,0,2.70,0,0,0,0
EDF,8710,,Wilkerson Reginald D (0722-CED),11, 90.91,0,0,0,0,0,9.09,0,0,0
EDF,9010,,Herro Danielle Christine (0723-CED),12, 100.00,0,0,0,0,0,0,0,0,0
EDF,9210,,Malloy Jacquelynn A (0724-CED),3, #,#,#,#,#,#,#,#,#,#
EDF,9270,,Farmer Jennie Lynn (0723-CED),13, 61.54,30.77,0,0,7.69,0,0,0,0,0
EDF,9270,,Gallagher Eliza Dargan (0956-CECAS),14, 85.71,0,0,0,0,14.29,0,0,0,0
EDF,9300,,Jamil Faiza Marghoob (0723-CED),16, 93.75,0,0,0,0,0,6.25,0,0,0
EDF,9310,,Herro Danielle Christine (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,9710,,Hall Daniella  (0722-CED),16, 56.25,31.25,0,0,0,0,12.50,0,0,0
EDF,9790,,Boyer David Matthew (0723-CED),10, 100.00,0,0,0,0,0,0,0,0,0
EDF,9800,,McNair Jonda Cecole (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,9800,,Savitz Rachelle S (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,9800,,Wilder Phillip Michael (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,9910,,Bates Celeste Compton Bomely (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,9910,,Boyer David Matthew (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,9910,,Fullerton Susan King (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,9910,,Herro Danielle Christine (0723-CED),4, #,#,#,#,#,#,#,#,#,#
EDF,9910,,Qian Meihua  (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,9910,,Wilder Phillip Michael (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDF,9940,,Ryan Joseph Benedict (0723-CED),1, #,#,#,#,#,#,#,#,#,#
EDHD,3110,,Boyer David Matthew (0723-CED),21, 100.00,0,0,0,0,0,0,0,0,0
EDHD,3110,,Dunston Pamela J (0723-CED),7, #,#,#,#,#,#,#,#,#,#
EDHD,3110,,Fullerton Susan King (0723-CED),6, #,#,#,#,#,#,#,#,#,#
EDHD,3110,,Hirsch Shanna Eisner (0723-CED),5, #,#,#,#,#,#,#,#,#,#
EDHD,3110,,McNair Jonda Cecole (0723-CED),16, 87.50,12.50,0,0,0,0,0,0,0,0
