Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F

BIOL,1010,,Ballard Robert Edward (0314-CSCI),365, 82.74,11.23,4.66,0.55,0.55,0.27,0,0,0,0
BIOL,1030,,Baldwin William S (0314-CSCI),272, 13.60,30.88,29.04,13.60,7.35,5.51,0,0,0,0
BIOL,1030,,Espinoza Nora R (0314-CSCI),270, 16.67,27.04,26.30,15.56,5.93,8.52,0,0,0,0
BIOL,1030,,Sparace Salvatore A (0314-CSCI),199, 16.08,22.61,32.66,17.09,4.52,7.04,0,0,0,0
BIOL,1030,,Surver William M (0314-CSCI),282, 32.27,30.50,19.50,7.45,5.32,4.96,0,0,0,0
BIOL,1030,H,Espinoza Nora R (0314-CSCI),39, 48.72,35.90,12.82,0,0,2.56,0,0,0,0
BIOL,1050,,Kaisa Tafadzwa R (0314-CSCI),1018, 8.74,44.70,31.73,7.86,2.06,4.62,0.29,0,0,0
BIOL,1090,,Hardwick Renea Chris (0314-CSCI),44, 95.45,4.55,0,0,0,0,0,0,0,0
BIOL,1100,,Dittrich-Reed Dylan Robert (0314-CSCI),234, 47.01,40.60,8.12,1.28,0.43,2.56,0,0,0,0
BIOL,1100,,Kosinski Robert J (0314-CSCI),199, 23.62,42.71,23.12,4.02,2.51,4.02,0,0,0,0
BIOL,1100,H,Dittrich-Reed Dylan Robert (0314-CSCI),21, 100.00,0,0,0,0,0,0,0,0,0
BIOL,1100,H,Kosinski Robert J (0314-CSCI),48, 100.00,0,0,0,0,0,0,0,0,0
BIOL,1200,,Minor V Christine M (0314-CSCI),277, 44.40,42.60,8.30,2.17,0.72,1.81,0,0,0,0
BIOL,1230,,Minor V Christine M (0314-CSCI),335, 14.63,46.27,26.87,8.96,1.49,1.79,0,0,0,0
BIOL,2000,,Dong Yuqing  (0314-CSCI),19, 100.00,0,0,0,0,0,0,0,0,0
BIOL,2000,,Gallicchio Vincent S (0314-CSCI),19, 100.00,0,0,0,0,0,0,0,0,0
BIOL,2000,,Hardwick Renea Chris (0314-CSCI),19, 94.74,0,0,0,0,5.26,0,0,0,0
BIOL,2000,,Henson John Michael (0314-CSCI),18, 100.00,0,0,0,0,0,0,0,0,0
BIOL,2000,,Minor V Christine M (0314-CSCI),19, 94.74,5.26,0,0,0,0,0,0,0,0
BIOL,2000,,Surver William M (0314-CSCI),37, 100.00,0,0,0,0,0,0,0,0,0
BIOL,2040,,Hains John Jenkins (0314-CSCI),93, 36.56,36.56,16.13,4.30,2.15,4.30,0,0,0,0
BIOL,2110,,Van den Hurk Peter  (0314-CSCI),24, 62.50,20.83,12.50,0,0,0,4.17,0,0,0
BIOL,2220,,Cummings John R (0314-CSCI),489, 24.54,33.95,23.31,5.32,5.73,6.54,0.61,0,0,0
BIOL,3010,,Benson Eric P (0310-CAFLS),7, #,#,#,#,#,#,#,#,#,#
BIOL,3030,,Blob Richard W. (0314-CSCI),271, 33.21,29.52,20.66,12.55,1.48,2.21,0.37,0,0,0
BIOL,3030,H,Blob Richard W. (0314-CSCI),21, 80.95,19.05,0,0,0,0,0,0,0,0
BIOL,3040,,Wells Christina E. (0314-CSCI),113, 53.10,36.28,6.19,1.77,2.65,0,0,0,0,0
BIOL,3040,H,Wells Christina E. (0314-CSCI),6, #,#,#,#,#,#,#,#,#,#
BIOL,3070,,Blob Richard W. (0314-CSCI),217, 54.38,37.33,5.07,0.92,0.46,1.84,0,0,0,0
